id,name_wikitag,ppg,ppg_id,start_date,end_date,landtag_state_abb,electoralperiod
/wiki/Annette_Watermann-Krass-nw-17,/wiki/Annette_Watermann-Krass,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Sebastian_Watermeier-nw-17,/wiki/Sebastian_Watermeier,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Simone_Wendland-nw-17,/wiki/Simone_Wendland,CDU,CDU,2017-06-01,2022-05-31,nw,17
/wiki/Christina_Weng-nw-17,/wiki/Christina_Weng,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Heike_Wermer-nw-17,/wiki/Heike_Wermer,CDU,CDU,2017-06-01,2022-05-31,nw,17
/wiki/Markus_Weske-nw-17,/wiki/Markus_Weske,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Bianca_Winkelmann-nw-17,/wiki/Bianca_Winkelmann,CDU,CDU,2017-06-01,2022-05-31,nw,17
/wiki/Ralf_Witzel-nw-17,/wiki/Ralf_Witzel,FDP,FDP,2017-06-01,2022-05-31,nw,17
/wiki/Sven_Wolf-nw-17,/wiki/Sven_Wolf,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Hendrik_W%C3%BCst-nw-17,/wiki/Hendrik_W%C3%BCst,CDU,CDU,2017-06-01,2022-05-31,nw,17
/wiki/Ibrahim_Yetim-nw-17,/wiki/Ibrahim_Yetim,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Serdar_Y%C3%BCksel-nw-17,/wiki/Serdar_Y%C3%BCksel,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Stefan_Zimkeit-nw-17,/wiki/Stefan_Zimkeit,SPD,SPD,2017-06-01,2022-05-31,nw,17
/wiki/Roger_Beckamp-nw-17,/wiki/Roger_Beckamp,AfD,AfD,2017-06-01,2021-10-25,nw,17
/wiki/Guido_van_den_Berg-nw-17,/wiki/Guido_van_den_Berg,SPD,SPD,2017-06-01,2019-05-02,nw,17
"/wiki/Stefan_Berger_(Politiker,_September_1969)-nw-17","/wiki/Stefan_Berger_(Politiker,_September_1969)",CDU,CDU,2017-06-01,2019-07-03,nw,17
/wiki/J%C3%BCrgen_Berghahn-nw-17,/wiki/J%C3%BCrgen_Berghahn,SPD,SPD,2017-06-01,2021-10-27,nw,17
/wiki/Jan_Heinisch-nw-17,/wiki/Jan_Heinisch,CDU,CDU,2017-06-01,2017-06-29,nw,17
/wiki/Marc_Herter-nw-17,/wiki/Marc_Herter,SPD,SPD,2017-06-01,2020-11-01,nw,17
/wiki/Moritz_K%C3%B6rner-nw-17,/wiki/Moritz_K%C3%B6rner,FDP,FDP,2017-06-01,2019-06-26,nw,17
/wiki/Hubertus_Kramer-nw-17,/wiki/Hubertus_Kramer,SPD,SPD,2017-06-01,2022-01-24,nw,17
/wiki/Armin_Laschet-nw-17,/wiki/Armin_Laschet,CDU,CDU,2017-06-01,2021-10-27,nw,17
/wiki/Christian_Lindner-nw-17,/wiki/Christian_Lindner,FDP,FDP,2017-06-01,2017-10-10,nw,17
/wiki/Sylvia_L%C3%B6hrmann-nw-17,/wiki/Sylvia_L%C3%B6hrmann,GRÜNE,GRÜNE,2017-06-01,2017-07-14,nw,17
/wiki/Bodo_Middeldorf-nw-17,/wiki/Bodo_Middeldorf,FDP,FDP,2017-06-01,2021-04-14,nw,17
/wiki/Andrea_Milz-nw-17,/wiki/Andrea_Milz,CDU,CDU,2017-06-01,2017-06-29,nw,17
/wiki/Arne_Moritz-nw-17,/wiki/Arne_Moritz,CDU,CDU,2017-06-01,2020-11-01,nw,17
/wiki/Holger_M%C3%BCller_(Politiker)-nw-17,/wiki/Holger_M%C3%BCller_(Politiker),CDU,CDU,2017-06-01,2019-06-09,nw,17
/wiki/Stefan_Nacke-nw-17,/wiki/Stefan_Nacke,CDU,CDU,2017-06-01,2021-10-27,nw,17
/wiki/Henning_Rehbaum-nw-17,/wiki/Henning_Rehbaum,CDU,CDU,2017-06-01,2021-10-27,nw,17
/wiki/Frank_Rock-nw-17,/wiki/Frank_Rock,CDU,CDU,2017-06-01,2020-11-01,nw,17
