"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"HE.40","/wiki/Norbert_Kartmann-he-18","/wiki/Norbert_Kartmann","Landtagspräsident/in","Landtagspräsident/in",2009-02-05,2014-01-17,"he",18
"HE.41","/wiki/Frank_Lortz-he-18","/wiki/Frank_Lortz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-02-05,2014-01-17,"he",18
"HE.42","/wiki/Lothar_Quanz-he-18","/wiki/Lothar_Quanz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-02-05,2014-01-17,"he",18
"HE.43","/wiki/Heinrich_Heidel-he-18","/wiki/Heinrich_Heidel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-02-05,2014-01-17,"he",18
"HE.44","/wiki/Ursula_Hammann-he-18","/wiki/Ursula_Hammann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2009-02-05,2014-01-17,"he",18
"HE.45","/wiki/Horst_Klee_(Politiker)-he-18","/wiki/Horst_Klee_(Politiker)","Mitglied des Präsidiums","Andere Position",2009-02-05,2014-01-17,"he",18
"HE.46","/wiki/Judith_Lannert-he-18","/wiki/Judith_Lannert","Mitglied des Präsidiums","Andere Position",2009-02-05,2014-01-17,"he",18
"HE.47","/wiki/G%C3%BCnter_Rudolph_(Politiker)-he-18","/wiki/G%C3%BCnter_Rudolph_(Politiker)","Mitglied des Präsidiums","Andere Position",2009-02-05,2014-01-17,"he",18
"HE.48","/wiki/Florian_Rentsch-he-18","/wiki/Florian_Rentsch","Mitglied des Präsidiums","Andere Position",2009-02-05,2014-01-17,"he",18
"HE.49","/wiki/Norbert_Kartmann-he-19","/wiki/Norbert_Kartmann","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"he",19
"HE.50","/wiki/Frank_Lortz-he-19","/wiki/Frank_Lortz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"he",19
"HE.51","/wiki/Heike_Habermann-he-19","/wiki/Heike_Habermann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"he",19
"HE.52","/wiki/Ursula_Hammann-he-19","/wiki/Ursula_Hammann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"he",19
"HE.53","/wiki/Ulrich_Wilken-he-19","/wiki/Ulrich_Wilken","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"he",19
"HE.54","/wiki/Wolfgang_Greilich-he-19","/wiki/Wolfgang_Greilich","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"he",19
"HH.1","/wiki/Elisabeth_Kiausch-hh-14","/wiki/Elisabeth_Kiausch","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",14
"HH.2","/wiki/Klaus_Lattmann-hh-14","/wiki/Klaus_Lattmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",14
"HH.3","/wiki/Hans-Joachim_Meissner-hh-14","/wiki/Hans-Joachim_Meissner","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",14
"HH.4","/wiki/Ute_Pape-hh-15","/wiki/Ute_Pape","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",15
"HH.5","/wiki/Rolf_Kruse_(Politiker)-hh-15","/wiki/Rolf_Kruse_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",15
"HH.6","/wiki/Ulla_Bussek-hh-15","/wiki/Ulla_Bussek","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",15
"HH.7","/wiki/Dorothee_Stapelfeldt-hh-16","/wiki/Dorothee_Stapelfeldt","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",16
"HH.8","/wiki/Berndt_R%C3%B6der-hh-16","/wiki/Berndt_R%C3%B6der","Erste/r Vizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",16
"HH.9","/wiki/Sonja_Deuter-hh-16","/wiki/Sonja_Deuter","Zweite/r Vizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",16
"HH.10","/wiki/Dorothee_Stapelfeldt-hh-17","/wiki/Dorothee_Stapelfeldt","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",17
"HH.11","/wiki/Berndt_R%C3%B6der-hh-17","/wiki/Berndt_R%C3%B6der","Erste/r Vizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",17
"HH.12","/wiki/Peter-Paul_M%C3%BCller-hh-17","/wiki/Peter-Paul_M%C3%BCller","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",17
"HH.13","/wiki/Farid_M%C3%BCller-hh-17","/wiki/Farid_M%C3%BCller","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",17
"HH.14","/wiki/Rose_Pauly_(Politikerin)-hh-17","/wiki/Rose_Pauly_(Politikerin)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",17
"HH.15","/wiki/Bettina_Bliebenich-hh-17","/wiki/Bettina_Bliebenich","Schriftführer/in","Andere Position",NA,NA,"hh",17
"HH.16","/wiki/Karin_Rogalski-Beeck-hh-17","/wiki/Karin_Rogalski-Beeck","Schriftführer/in","Andere Position",NA,NA,"hh",17
"HH.17","/wiki/Berndt_R%C3%B6der-hh-18","/wiki/Berndt_R%C3%B6der","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",18
"HH.18","/wiki/Barbara_Duden_(Politikerin)-hh-18","/wiki/Barbara_Duden_(Politikerin)","Erste/r Vizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",18
"HH.19","/wiki/Verena_Lappe-hh-18","/wiki/Verena_Lappe","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",18
"HH.20","/wiki/Bettina_Bliebenich-hh-18","/wiki/Bettina_Bliebenich","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",18
"HH.21","/wiki/Berndt_R%C3%B6der-hh-19","/wiki/Berndt_R%C3%B6der","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"hh",19
"HH.22","/wiki/Barbara_Duden_(Politikerin)-hh-19","/wiki/Barbara_Duden_(Politikerin)","Erste/r Vizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",19
"HH.23","/wiki/Wolfhard_Ploog-hh-19","/wiki/Wolfhard_Ploog","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",19
"HH.24","/wiki/Nebahat_G%C3%BC%C3%A7l%C3%BC-hh-19","/wiki/Nebahat_G%C3%BC%C3%A7l%C3%BC","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",19
"HH.25","/wiki/Wolfgang_Joithe-von_Krosigk-hh-19","/wiki/Wolfgang_Joithe-von_Krosigk","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"hh",19
"HH.26","/wiki/Dorothee_Stapelfeldt-hh-20","/wiki/Dorothee_Stapelfeldt","Landtagspräsident/in","Landtagspräsident/in",2011-03-07,2011-03-23,"hh",20
"HH.27","/wiki/Carola_Veit-hh-20","/wiki/Carola_Veit","Landtagspräsident/in","Landtagspräsident/in",2011-03-23,2015-03-01,"hh",20
"HH.28","/wiki/Kersten_Artus-hh-20","/wiki/Kersten_Artus","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-03-23,2015-03-01,"hh",20
"HH.29","/wiki/Barbara_Duden_(Politikerin)-hh-20","/wiki/Barbara_Duden_(Politikerin)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-03-23,2015-03-01,"hh",20
"HH.30","/wiki/Eva_G%C3%BCmbel-hh-20","/wiki/Eva_G%C3%BCmbel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-03-07,2015-03-01,"hh",20
"HH.31","/wiki/Wieland_Schinnenburg-hh-20","/wiki/Wieland_Schinnenburg","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-03-07,2015-03-01,"hh",20
"HH.32","/wiki/Frank_Schira-hh-20","/wiki/Frank_Schira","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-03-07,2015-03-01,"hh",20
"HH.33","/wiki/Carola_Veit-hh-21","/wiki/Carola_Veit","Landtagspräsident/in","Landtagspräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.34","/wiki/Barbara_Duden_(Politikerin)-hh-21","/wiki/Barbara_Duden_(Politikerin)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.35","/wiki/Kurt_Duwe-hh-21","/wiki/Kurt_Duwe","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.36","/wiki/Detlef_Ehlebracht-hh-21","/wiki/Detlef_Ehlebracht","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.37","/wiki/Antje_M%C3%B6ller-hh-21","/wiki/Antje_M%C3%B6ller","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.38","/wiki/Christiane_Schneider-hh-21","/wiki/Christiane_Schneider","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"HH.39","/wiki/Dietrich_Wersich-hh-21","/wiki/Dietrich_Wersich","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2015-03-02,2020-03-17,"hh",21
"MV.1","/wiki/Rainer_Prachtl-mv-1","/wiki/Rainer_Prachtl","Landtagspräsident/in","Landtagspräsident/in",1990-10-26,1994-11-14,"mv",1
"MV.2","/wiki/Rolf_Eggert-mv-1","/wiki/Rolf_Eggert","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-10-26,1994-11-14,"mv",1
"MV.3","/wiki/Stefanie_Wolf-mv-1","/wiki/Stefanie_Wolf","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-10-26,1994-11-14,"mv",1
"MV.4","/wiki/Rainer_Prachtl-mv-2","/wiki/Rainer_Prachtl","Landtagspräsident/in","Landtagspräsident/in",1994-11-15,1998-10-25,"mv",2
"MV.5","/wiki/Manfred_Rissmann-mv-2","/wiki/Manfred_Rissmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-11-15,1998-10-25,"mv",2
"MV.6","/wiki/Johann_Scheringer-mv-2","/wiki/Johann_Scheringer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-11-15,1998-10-25,"mv",2
"MV.7","/wiki/Hinrich_Kuessner-mv-3","/wiki/Hinrich_Kuessner","Landtagspräsident/in","Landtagspräsident/in",1998-10-26,2002-10-21,"mv",3
"MV.8","/wiki/Renate_Holznagel-mv-3","/wiki/Renate_Holznagel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-10-26,2002-10-21,"mv",3
"MV.9","/wiki/Gabriele_M%C4%9B%C5%A1%C5%A5an-mv-3","/wiki/Gabriele_M%C4%9B%C5%A1%C5%A5an","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-10-26,1999-01-12,"mv",3
"MV.10","/wiki/Kerstin_Kassner-mv-3","/wiki/Kerstin_Kassner","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1999-09-15,2001-11-13,"mv",3
"MV.11","/wiki/Sylvia_Bretschneider-mv-4","/wiki/Sylvia_Bretschneider","Landtagspräsident/in","Landtagspräsident/in",2002-10-22,2006-10-15,"mv",4
"MV.12","/wiki/Renate_Holznagel-mv-4","/wiki/Renate_Holznagel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2002-10-22,2006-10-15,"mv",4
"MV.13","/wiki/Andreas_Bluhm_(Politiker)-mv-4","/wiki/Andreas_Bluhm_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2002-10-22,2006-10-15,"mv",4
"MV.14","/wiki/Sylvia_Bretschneider-mv-5","/wiki/Sylvia_Bretschneider","Landtagspräsident/in","Landtagspräsident/in",2006-10-16,2011-10-03,"mv",5
"MV.15","/wiki/Renate_Holznagel-mv-5","/wiki/Renate_Holznagel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-10-16,2011-10-03,"mv",5
"MV.16","/wiki/Andreas_Bluhm_(Politiker)-mv-5","/wiki/Andreas_Bluhm_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-10-16,2011-10-03,"mv",5
"MV.17","/wiki/Hans_Kreher-mv-5","/wiki/Hans_Kreher","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-10-16,2011-10-03,"mv",5
"MV.18","/wiki/Sylvia_Bretschneider-mv-6","/wiki/Sylvia_Bretschneider","Landtagspräsident/in","Landtagspräsident/in",2011-10-04,2016-10-03,"mv",6
"MV.19","/wiki/Beate_Schlupp-mv-6","/wiki/Beate_Schlupp","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-10-04,2016-10-03,"mv",6
"MV.20","/wiki/Regine_L%C3%BCck-mv-6","/wiki/Regine_L%C3%BCck","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-10-04,2016-10-03,"mv",6
"MV.21","/wiki/Silke_Gajek-mv-6","/wiki/Silke_Gajek","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2011-10-04,2016-10-03,"mv",6
"MV.22","/wiki/Sylvia_Bretschneider-mv-7","/wiki/Sylvia_Bretschneider","Landtagspräsident/in","Landtagspräsident/in",2016-10-04,2019-04-28,"mv",7
"MV.23","/wiki/Birgit_Hesse-mv-7","/wiki/Birgit_Hesse","Landtagspräsident/in","Landtagspräsident/in",2019-05-22,2021-10-25,"mv",7
"MV.24","/wiki/Beate_Schlupp-mv-7","/wiki/Beate_Schlupp","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2016-10-04,2021-10-25,"mv",7
"MV.25","/wiki/Mignon_Schwenke-mv-7","/wiki/Mignon_Schwenke","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2016-10-04,2021-10-25,"mv",7
"NI.1","/wiki/Horst_Milde_(Politiker)-ni-12","/wiki/Horst_Milde_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",NA,NA,"ni",12
"NI.2","/wiki/Edzard_Blanke-ni-12","/wiki/Edzard_Blanke","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"ni",12
"NI.3","/wiki/Edda_Goede-ni-12","/wiki/Edda_Goede","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"ni",12
"NI.4","/wiki/Walter_Remmers-ni-12","/wiki/Walter_Remmers","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"ni",12
"NI.5","/wiki/Doris_Herrmann-ni-12","/wiki/Doris_Herrmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"ni",12
"NI.6","/wiki/Kurt_Rehkopf-ni-12","/wiki/Kurt_Rehkopf","Landtagsvizepräsident/in","Landtagsvizepräsident/in",NA,NA,"ni",12
"NI.7","/wiki/Horst_Milde_(Politiker)-ni-13","/wiki/Horst_Milde_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",1994-06-23,1998-03-29,"ni",13
"NI.8","/wiki/Irmela_Hammelstein-ni-13","/wiki/Irmela_Hammelstein","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-06-23,1995-05-24,"ni",13
"NI.9","/wiki/Edda_Goede-ni-13","/wiki/Edda_Goede","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-06-23,1998-03-29,"ni",13
"NI.10","/wiki/J%C3%BCrgen_Gans%C3%A4uer-ni-13","/wiki/J%C3%BCrgen_Gans%C3%A4uer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-06-23,1998-03-29,"ni",13
"NI.11","/wiki/Ernst-Henning_Jahn-ni-13","/wiki/Ernst-Henning_Jahn","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-06-23,1998-03-29,"ni",13
"NI.12","/wiki/Erwin_Jordan-ni-13","/wiki/Erwin_Jordan","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1994-06-23,1996-06-11,"ni",13
"NI.13","/wiki/Brigitte_Litfin-ni-13","/wiki/Brigitte_Litfin","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1996-06-19,1998-03-29,"ni",13
"NI.14","/wiki/Rolf_Wernstedt-ni-14","/wiki/Rolf_Wernstedt","Landtagspräsident/in","Landtagspräsident/in",1998-03-30,2003-03-03,"ni",14
"NI.15","/wiki/Edda_Goede-ni-14","/wiki/Edda_Goede","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-03-30,2003-03-03,"ni",14
"NI.16","/wiki/J%C3%BCrgen_Gans%C3%A4uer-ni-14","/wiki/J%C3%BCrgen_Gans%C3%A4uer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-03-30,2003-03-03,"ni",14
"NI.17","/wiki/Ernst-Henning_Jahn-ni-14","/wiki/Ernst-Henning_Jahn","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-03-30,2003-03-03,"ni",14
"NI.18","/wiki/Brigitte_Litfin-ni-14","/wiki/Brigitte_Litfin","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1998-03-30,2003-03-03,"ni",14
"NI.19","/wiki/J%C3%BCrgen_Gans%C3%A4uer-ni-15","/wiki/J%C3%BCrgen_Gans%C3%A4uer","Landtagspräsident/in","Landtagspräsident/in",2003-03-04,2008-02-25,"ni",15
"NI.20","/wiki/Astrid_Vockert-ni-15","/wiki/Astrid_Vockert","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-03-04,2008-02-25,"ni",15
"NI.21","/wiki/Ulrich_Biel_(Politiker,_1947)-ni-15","/wiki/Ulrich_Biel_(Politiker,_1947)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-03-04,2008-02-25,"ni",15
"NI.22","/wiki/Silva_Seeler-ni-15","/wiki/Silva_Seeler","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-03-04,2008-02-25,"ni",15
"NI.23","/wiki/Ulrike_Kuhlo-ni-15","/wiki/Ulrike_Kuhlo","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2003-03-04,2008-02-25,"ni",15
"NI.24","/wiki/Hermann_Dinkla-ni-16","/wiki/Hermann_Dinkla","Landtagspräsident/in","Landtagspräsident/in",2008-02-26,2013-02-18,"ni",16
"NI.25","/wiki/Astrid_Vockert-ni-16","/wiki/Astrid_Vockert","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-02-26,2013-02-18,"ni",16
"NI.26","/wiki/Dieter_M%C3%B6hrmann-ni-16","/wiki/Dieter_M%C3%B6hrmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-02-26,2013-02-18,"ni",16
"NI.27","/wiki/Klaus-Peter_Bachmann-ni-16","/wiki/Klaus-Peter_Bachmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2008-02-26,2013-02-18,"ni",16
"NI.28","/wiki/Bernd_Busemann-ni-17","/wiki/Bernd_Busemann","Landtagspräsident/in","Landtagspräsident/in",2013-02-19,2017-11-13,"ni",17
"NI.29","/wiki/Karl-Heinz_Klare-ni-17","/wiki/Karl-Heinz_Klare","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-02-19,2017-11-13,"ni",17
"NI.30","/wiki/Gabriele_Andretta-ni-17","/wiki/Gabriele_Andretta","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-02-19,2017-11-13,"ni",17
"NI.31","/wiki/Klaus-Peter_Bachmann-ni-17","/wiki/Klaus-Peter_Bachmann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2013-02-19,2017-11-13,"ni",17
"NI.32","Gabriele Andretta-ni-18","Gabriele Andretta","Landtagspräsident/in","Landtagspräsident/in",2017-11-14,2021-11-11,"ni",18
"NI.33","/wiki/Bernd_Busemann-ni-18","/wiki/Bernd_Busemann","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2017-11-22,2021-11-11,"ni",18
"NI.34","Petra Emmerich-Kopatsch-ni-18","Petra Emmerich-Kopatsch","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2017-11-22,2017-11-09,"ni",18
"NI.35","/wiki/Matthias_M%C3%B6hle-ni-18","/wiki/Matthias_M%C3%B6hle","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2021-11-09,2021-11-11,"ni",18
"NI.36","/wiki/Meta_Janssen-Kucz-ni-18","/wiki/Meta_Janssen-Kucz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2017-11-22,2021-11-11,"ni",18
"NI.37","/wiki/Frank_Oesterhelweg-ni-18","/wiki/Frank_Oesterhelweg","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2017-11-22,2021-11-11,"ni",18
"NW.1","/wiki/Ingeborg_Friebe-nw-11","/wiki/Ingeborg_Friebe","Landtagspräsident/in","Landtagspräsident/in",1990-05-31,1995-05-31,"nw",11
"NW.2","/wiki/Hans-Ulrich_Klose_(Politiker,_1935)-nw-11","/wiki/Hans-Ulrich_Klose_(Politiker,_1935)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-05-31,1995-05-31,"nw",11
"NW.3","/wiki/Ulrich_Schmidt_(Politiker)-nw-11","/wiki/Ulrich_Schmidt_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1990-05-31,1995-05-31,"nw",11
"NW.4","/wiki/Ulrich_Schmidt_(Politiker)-nw-12","/wiki/Ulrich_Schmidt_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",1995-06-01,2000-06-01,"nw",12
"NW.5","/wiki/Hans-Ulrich_Klose_(Politiker,_1935)-nw-12","/wiki/Hans-Ulrich_Klose_(Politiker,_1935)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-06-01,2000-06-01,"nw",12
"NW.6","/wiki/Katrin_Gr%C3%BCber-nw-12","/wiki/Katrin_Gr%C3%BCber","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-06-01,2000-06-01,"nw",12
"NW.7","/wiki/Ulrich_Schmidt_(Politiker)-nw-13","/wiki/Ulrich_Schmidt_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",2000-06-02,2005-06-07,"nw",13
"NW.8","/wiki/Helmut_Linssen-nw-13","/wiki/Helmut_Linssen","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2000-12-06,2005-06-07,"nw",13
"NW.9","/wiki/Laurenz_Meyer-nw-13","/wiki/Laurenz_Meyer","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2000-06-02,2000-12-06,"nw",13
"NW.10","/wiki/Jan_S%C3%B6ffing-nw-13","/wiki/Jan_S%C3%B6ffing","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2000-06-02,2005-06-07,"nw",13
"NW.11","/wiki/Edith_M%C3%BCller_(Politikerin)-nw-13","/wiki/Edith_M%C3%BCller_(Politikerin)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2000-06-02,2005-06-07,"nw",13
"NW.12","/wiki/Regina_van_Dinther-nw-14","/wiki/Regina_van_Dinther","Landtagspräsident/in","Landtagspräsident/in",2005-06-08,2010-06-08,"nw",14
"NW.13","/wiki/Edgar_Moron-nw-14","/wiki/Edgar_Moron","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2005-06-08,2010-06-08,"nw",14
"NW.14","/wiki/Michael_Vesper-nw-14","/wiki/Michael_Vesper","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2005-06-08,2006-09-30,"nw",14
"NW.15","/wiki/Oliver_Keymis-nw-14","/wiki/Oliver_Keymis","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-10-25,2010-06-08,"nw",14
"NW.16","/wiki/Angela_Freimuth-nw-14","/wiki/Angela_Freimuth","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2005-06-08,2010-06-08,"nw",14
"NW.17","/wiki/Eckhard_Uhlenberg-nw-15","/wiki/Eckhard_Uhlenberg","Landtagspräsident/in","Landtagspräsident/in",2010-06-09,2012-05-30,"nw",15
"NW.18","/wiki/Carina_G%C3%B6decke-nw-15","/wiki/Carina_G%C3%B6decke","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2010-06-09,2012-05-30,"nw",15
"NW.19","/wiki/Oliver_Keymis-nw-15","/wiki/Oliver_Keymis","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2010-06-09,2012-05-30,"nw",15
"NW.20","/wiki/Angela_Freimuth-nw-15","/wiki/Angela_Freimuth","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2010-06-09,2012-05-30,"nw",15
"NW.21","/wiki/Gunhild_B%C3%B6th-nw-15","/wiki/Gunhild_B%C3%B6th","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2010-06-09,2012-05-30,"nw",15
"NW.22","/wiki/Carina_G%C3%B6decke-nw-16","/wiki/Carina_G%C3%B6decke","Landtagspräsident/in","Landtagspräsident/in",2012-05-31,2017-05-31,"nw",16
"NW.23","/wiki/Eckhard_Uhlenberg-nw-16","/wiki/Eckhard_Uhlenberg","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2012-05-31,2017-05-31,"nw",16
"NW.24","/wiki/Oliver_Keymis-nw-16","/wiki/Oliver_Keymis","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2012-05-31,2017-05-31,"nw",16
"NW.25","/wiki/Gerhard_Papke-nw-16","/wiki/Gerhard_Papke","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2012-05-31,2017-05-31,"nw",16
"NW.26","/wiki/Daniel_D%C3%BCngel-nw-16","/wiki/Daniel_D%C3%BCngel","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2012-05-31,2014-08-12,"nw",16
"NW.27","/wiki/Andr%C3%A9_Kuper-nw-17","/wiki/Andr%C3%A9_Kuper","Landtagspräsident/in","Landtagspräsident/in",2017-06-01,2022-05-31,"nw",17
"NW.28","/wiki/Carina_G%C3%B6decke-nw-17","/wiki/Carina_G%C3%B6decke","1. Vizepräsident/in","Landtagsvizepräsident/in",2017-06-01,2022-05-31,"nw",17
"NW.29","/wiki/Angela_Freimuth-nw-17","/wiki/Angela_Freimuth","2. Vizepräsident/in","Landtagsvizepräsident/in",2017-06-01,2022-05-31,"nw",17
"NW.30","/wiki/Oliver_Martin_Keymis-nw-17","/wiki/Oliver_Martin_Keymis","3. Vizepräsident/in","Landtagsvizepräsident/in",2017-06-01,2022-05-31,"nw",17
"RP.1","/wiki/Christoph_Grimm_(Politiker,_1943)-rp-12","/wiki/Christoph_Grimm_(Politiker,_1943)","Landtagspräsident/in","Landtagspräsident/in",1991-05-21,1996-05-19,"rp",12
"RP.2","/wiki/Heinz_Peter_Volkert-rp-12","/wiki/Heinz_Peter_Volkert","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-05-21,1996-05-19,"rp",12
"RP.3","/wiki/Hans-G%C3%BCnther_Heinz-rp-12","/wiki/Hans-G%C3%BCnther_Heinz","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-05-21,1996-05-19,"rp",12
"RP.4","/wiki/Detlef_Bojak-rp-12","/wiki/Detlef_Bojak","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-05-21,1996-05-19,"rp",12
"RP.5","/wiki/Erika_Fritsche-rp-12","/wiki/Erika_Fritsche","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1991-05-21,1995-02-28,"rp",12
"RP.6","/wiki/Helma_Schmitt-rp-12","/wiki/Helma_Schmitt","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1995-03-01,1996-05-19,"rp",12
"RP.7","/wiki/Christoph_Grimm_(Politiker,_1943)-rp-13","/wiki/Christoph_Grimm_(Politiker,_1943)","Landtagspräsident/in","Landtagspräsident/in",1996-05-20,2001-05-17,"rp",13
