"","id","name.wikitag","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BE.21","/wiki/Henner_Schmidt-be-18","/wiki/Henner_Schmidt","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2016-10-27,2021-11-03,"be",18
"BW.1","/wiki/Erich_Schneider_(Politiker,_1933)-bw-10","/wiki/Erich_Schneider_(Politiker,_1933)","Landtagspräsident/in","Landtagspräsident/in",1988-06-07,1992-06-09,"bw",10
"BW.2","/wiki/Alfred_Geisel_(Politiker)-bw-10","/wiki/Alfred_Geisel_(Politiker)","Stellvertretende/r Präsident/in","Landtagsvizepräsident/in",1988-06-07,1992-06-09,"bw",10
"BW.3","/wiki/Fritz_Hopmeier-bw-10","/wiki/Fritz_Hopmeier","Stellvertretende/r Präsident/in","Landtagsvizepräsident/in",1988-06-07,1992-06-09,"bw",10
"BW.4","/wiki/Fritz_Hopmeier-bw-11","/wiki/Fritz_Hopmeier","Landtagspräsident/in","Landtagspräsident/in",1992-06-10,1996-06-10,"bw",11
"BW.5","/wiki/Alfred_Geisel_(Politiker)-bw-11","/wiki/Alfred_Geisel_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1992-06-10,1996-06-10,"bw",11
"BW.6","/wiki/Peter_Straub_(Politiker)-bw-11","/wiki/Peter_Straub_(Politiker)","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1992-06-10,1996-06-10,"bw",11
"BW.7","/wiki/Peter_Straub_(Politiker)-bw-12","/wiki/Peter_Straub_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",1996-06-11,2001-06-11,"bw",12
"BW.8","/wiki/Frieder_Birzele-bw-12","/wiki/Frieder_Birzele","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1996-06-11,2001-06-11,"bw",12
"BW.9","/wiki/Gerhard_Weiser-bw-12","/wiki/Gerhard_Weiser","Landtagsvizepräsident/in","Landtagsvizepräsident/in",1996-06-11,2001-06-11,"bw",12
"BW.10","/wiki/Peter_Straub_(Politiker)-bw-13","/wiki/Peter_Straub_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",2001-06-12,2006-06-12,"bw",13
"BW.11","/wiki/Frieder_Birzele-bw-13","/wiki/Frieder_Birzele","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2001-06-12,2006-06-12,"bw",13
"BW.12","/wiki/Christa_Vossschulte-bw-13","/wiki/Christa_Vossschulte","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2001-06-12,2006-06-12,"bw",13
"BW.13","/wiki/Beate_Fauser-bw-13","/wiki/Beate_Fauser","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2001-06-12,2006-06-12,"bw",13
"BW.14","/wiki/Peter_Straub_(Politiker)-bw-14","/wiki/Peter_Straub_(Politiker)","Landtagspräsident/in","Landtagspräsident/in",2006-06-13,2011-05-10,"bw",14
"BW.15","/wiki/Wolfgang_Drexler-bw-14","/wiki/Wolfgang_Drexler","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-06-13,2011-05-10,"bw",14
"BW.16","/wiki/Christa_Vossschulte-bw-14","/wiki/Christa_Vossschulte","Landtagsvizepräsident/in","Landtagsvizepräsident/in",2006-06-13,2011-05-10,"bw",14
"BW.17","/wiki/Guido_Wolf-bw-15","/wiki/Guido_Wolf","Landtagspräsident/in","Landtagspräsident/in",2011-05-11,2016-05-10,"bw",15
