id,name.wikitag,ministry,ministry.clean,position,position.clean,cabinet,party,economy,environment,education,infrastructure,health,justice,agriculture,culture_leisure,technology,regional,family,migration,genderequality,social,international,interior,state_chancellery,start.date,end.date,landtag.state.abb,electoralperiod
/wiki/Hartmut_Perschau-hb-14,/wiki/Hartmut_Perschau,Finanzen,finanzen,Senator/in,Minister/in,Scherf I,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-09-20,1999-07-06,hb,14
/wiki/Ralf_Borttscheller-hb-14,/wiki/Ralf_Borttscheller,Inneres,inneres,Senator/in,Minister/in,Scherf I,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1995-07-04,1999-07-06,hb,14
/wiki/Uwe_Beckmeyer-hb-14,/wiki/Uwe_Beckmeyer,"Häfen, überregionaler Verkehr und Außenhandel",häfen überregionaler verkehr außenhandel,Senator/in,Minister/in,Scherf I,SPD,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1995-07-04,1999-07-06,hb,14
/wiki/Hartmut_Perschau-hb-14,/wiki/Hartmut_Perschau,"Wirtschaft, Mittelstand, Technologie und Europaangelegenheiten",wirtschaft mittelstand technologie europaangelegenheiten,Senator/in,Minister/in,Scherf I,CDU,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1995-07-04,1997-10-08,hb,14
/wiki/Josef_Hattig-hb-14,/wiki/Josef_Hattig,"Wirtschaft, Mittelstand, Technologie und Europaangelegenheiten",wirtschaft mittelstand technologie europaangelegenheiten,Senator/in,Minister/in,Scherf I,CDU,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1997-10-09,1999-07-06,hb,14
/wiki/Bernt_Schulte-hb-14,/wiki/Bernt_Schulte,"Bau, Verkehr und Stadtentwicklung",bau verkehr stadtentwicklung,Senator/in,Minister/in,Scherf I,CDU,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995-07-04,1999-07-06,hb,14
/wiki/Bringfriede_Kahrs-hb-14,/wiki/Bringfriede_Kahrs,"Bildung, Wissenschaft, Kunst und Sport",bildung wissenschaft kunst sport,Senator/in,Minister/in,Scherf I,SPD,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995-07-04,1999-07-06,hb,14
/wiki/Christine_Wischer-hb-14,/wiki/Christine_Wischer,"Frauen, Gesundheit, Jugend, Soziales und Umweltschutz",frauen gesundheit jugend soziales umweltschutz,Senator/in,Minister/in,Scherf I,SPD,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1995-07-04,1999-07-06,hb,14
/wiki/Henning_Scherf-hb-15,/wiki/Henning_Scherf,Staatskanzlei,staatskanzlei,Präsident/in des Senats und Bürgermeister/in,Regierungsoberhaupt,Scherf II,SPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999-07-07,2003-07-03,hb,15
/wiki/Henning_Scherf-hb-15,/wiki/Henning_Scherf,Justiz und Verfassung,justiz verfassung,Senator/in,Minister/in,Scherf II,SPD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999-07-07,2003-07-03,hb,15
/wiki/Hartmut_Perschau-hb-15,/wiki/Hartmut_Perschau,Staatskanzlei,staatskanzlei,Stellvertretende/r Präsident/in des Senats und Bürgermeister/in,Stellvertretendes Regierungsoberhaupt,Scherf II,CDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999-07-07,2003-07-03,hb,15
