"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BY.35","/wiki/Gerda-Maria_Haas-by-13","/wiki/Gerda-Maria_Haas","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1994-10-20,1998-07-09,"by",13
"BY.36","/wiki/Franz_Maget-by-13","/wiki/Franz_Maget","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1994-10-20,1998-07-09,"by",13
"BY.37","/wiki/Herbert_M%C3%BCller_(Politiker,_1944)-by-13","/wiki/Herbert_M%C3%BCller_(Politiker,_1944)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1994-10-20,1998-07-09,"by",13
"BY.38","/wiki/Alois_Gl%C3%BCck-by-14","/wiki/Alois_Gl%C3%BCck","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.39","/wiki/Renate_Schmidt-by-14","/wiki/Renate_Schmidt","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1998-09-28,2000-09-19,"by",14
"BY.40","/wiki/Franz_Maget-by-14","/wiki/Franz_Maget","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2000-09-20,2003-07-10,"by",14
"BY.41","/wiki/Ruth_Paulig-by-14","/wiki/Ruth_Paulig","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",1998-09-28,2000-11-30,"by",14
"BY.42","/wiki/Christine_Stahl-by-14","/wiki/Christine_Stahl","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2000-12-06,2003-07-10,"by",14
"BY.43","/wiki/Sepp_D%C3%BCrr-by-14","/wiki/Sepp_D%C3%BCrr","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2000-12-06,2003-07-10,"by",14
"BY.44","/wiki/Otmar_Bernhard-by-14","/wiki/Otmar_Bernhard","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.45","/wiki/Ingrid_Fickler-by-14","/wiki/Ingrid_Fickler","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.46","/wiki/Willi_M%C3%BCller_(Politiker,_1936)-by-14","/wiki/Willi_M%C3%BCller_(Politiker,_1936)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.47","/wiki/Manfred_Wei%C3%9F_(Politiker)-by-14","/wiki/Manfred_Wei%C3%9F_(Politiker)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,1999-09-13,"by",14
"BY.48","/wiki/Joachim_Herrmann_(Politiker,_1956)-by-14","/wiki/Joachim_Herrmann_(Politiker,_1956)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1999-09-21,2003-07-10,"by",14
"BY.49","/wiki/Franz_Maget-by-14","/wiki/Franz_Maget","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2000-09-19,"by",14
"BY.50","/wiki/Susann_Biedefeld-by-14","/wiki/Susann_Biedefeld","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2000-10-25,2003-07-10,"by",14
"BY.51","/wiki/Karin_Radermacher-by-14","/wiki/Karin_Radermacher","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.52","/wiki/Johanna_Werner-Muggendorfer-by-14","/wiki/Johanna_Werner-Muggendorfer","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2003-07-10,"by",14
"BY.53","/wiki/Elisabeth_K%C3%B6hler-by-14","/wiki/Elisabeth_K%C3%B6hler","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",1998-09-28,2000-12-05,"by",14
"BY.54","/wiki/Emma_Kellner-by-14","/wiki/Emma_Kellner","B90/GR","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2000-12-06,2003-07-10,"by",14
"BY.55","/wiki/Joachim_Herrmann_(Politiker,_1956)-by-15","/wiki/Joachim_Herrmann_(Politiker,_1956)","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",2003-10-06,2007-10-16,"by",15
"BY.56","/wiki/Georg_Schmid_(Politiker)-by-15","/wiki/Georg_Schmid_(Politiker)","CSU","CSU","Fraktionsvorsitz","Fraktionsvorsitz",2007-10-17,2008-07-17,"by",15
"BY.57","/wiki/Franz_Maget-by-15","/wiki/Franz_Maget","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.58","/wiki/Margarete_Bause-by-15","/wiki/Margarete_Bause","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.59","/wiki/Sepp_D%C3%BCrr-by-15","/wiki/Sepp_D%C3%BCrr","B90/GR","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.60","/wiki/Otmar_Bernhard-by-15","/wiki/Otmar_Bernhard","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2005-12-17,"by",15
"BY.61","/wiki/Renate_Dodell-by-15","/wiki/Renate_Dodell","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
"BY.62","/wiki/Thomas_Kreuzer_(Politiker)-by-15","/wiki/Thomas_Kreuzer_(Politiker)","CSU","CSU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2003-10-06,2008-07-17,"by",15
