"","id","name.wikitag","fraction","fraction.id","position","position.clean","start.date","end.date","landtag.state.abb","electoralperiod"
"BB.1","/wiki/Wolfgang_Birthler-bb-1","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.2","/wiki/Peter-Michael_Diestel-bb-1","/wiki/Peter-Michael_Diestel","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1992-05-08,"bb",1
"BB.3","/wiki/Dieter_Helm-bb-1","/wiki/Dieter_Helm","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1992-05-24,1994-10-10,"bb",1
"BB.4","/wiki/Lothar_Bisky-bb-1","/wiki/Lothar_Bisky","PDS-LL","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.5","/wiki/G%C3%BCnter_Nooke-bb-1","/wiki/G%C3%BCnter_Nooke","Bündnis 90","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1994-10-10,"bb",1
"BB.6","/wiki/Rainer_Siebert-bb-1","/wiki/Rainer_Siebert","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",1990-10-26,1992-09-14,"bb",1
"BB.7","/wiki/Siegfried_Lietzmann-bb-1","/wiki/Siegfried_Lietzmann","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",1992-09-15,1994-10-10,"bb",1
"BB.8","/wiki/Wolfgang_Birthler-bb-2","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1999-09-28,"bb",2
"BB.9","/wiki/Peter_Wagner_(Politiker)-bb-2","/wiki/Peter_Wagner_(Politiker)","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1997-09-07,"bb",2
"BB.10","/wiki/Wolfgang_Hackel-bb-2","/wiki/Wolfgang_Hackel","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1997-09-23,1999-09-28,"bb",2
"BB.11","/wiki/Lothar_Bisky-bb-2","/wiki/Lothar_Bisky","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",1994-10-11,1999-09-28,"bb",2
"BB.12","/wiki/Wolfgang_Klein_(Politiker)-bb-2","/wiki/Wolfgang_Klein_(Politiker)","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.13","/wiki/Dierk_Homeyer-bb-2","/wiki/Dierk_Homeyer","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.14","/wiki/Heinz_Vietze-bb-2","/wiki/Heinz_Vietze","PDS","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",2
"BB.15","/wiki/Wolfgang_Birthler-bb-3","/wiki/Wolfgang_Birthler","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1999-09-29,1999-10-12,"bb",3
"BB.16","/wiki/Gunter_Fritsch-bb-3","/wiki/Gunter_Fritsch","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",1999-10-13,2004-10-12,"bb",3
"BB.17","/wiki/J%C3%B6rg_Sch%C3%B6nbohm-bb-3","/wiki/J%C3%B6rg_Sch%C3%B6nbohm","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1999-09-29,1999-10-12,"bb",3
"BB.18","/wiki/Beate_Blechinger-bb-3","/wiki/Beate_Blechinger","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",1999-10-13,2004-10-12,"bb",3
"BB.19","/wiki/Lothar_Bisky-bb-3","/wiki/Lothar_Bisky","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",1999-09-29,2004-10-12,"bb",3
"BB.20","/wiki/Liane_Hesselbarth-bb-3","/wiki/Liane_Hesselbarth","DVU","DVU","Fraktionsvorsitz","Fraktionsvorsitz",1999-09-29,2004-10-12,"bb",3
"BB.21","/wiki/G%C3%BCnter_Baaske-bb-4","/wiki/G%C3%BCnter_Baaske","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2004-10-13,2009-10-20,"bb",4
"BB.22","/wiki/Thomas_Lunacek-bb-4","/wiki/Thomas_Lunacek","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2004-10-13,2009-01-20,"bb",4
"BB.23","/wiki/Saskia_Funck-bb-4","/wiki/Saskia_Funck","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2009-01-27,2009-10-20,"bb",4
"BB.24","/wiki/Dagmar_Enkelmann-bb-4","/wiki/Dagmar_Enkelmann","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2004-10-13,2005-10-17,"bb",4
"BB.25","/wiki/Kerstin_Kaiser-bb-4","/wiki/Kerstin_Kaiser","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2005-10-18,2009-10-20,"bb",4
"BB.26","/wiki/Liane_Hesselbarth-bb-4","/wiki/Liane_Hesselbarth","DVU","DVU","Fraktionsvorsitz","Fraktionsvorsitz",2004-10-13,2009-10-20,"bb",4
"BB.27","/wiki/Christoph_Schulze_(Politiker)-bb-4","/wiki/Christoph_Schulze_(Politiker)","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",4
"BB.28","/wiki/Christian_G%C3%B6rke-bb-4","/wiki/Christian_G%C3%B6rke","Die Linke","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",4
"BB.29","/wiki/Roswitha_Schier-bb-4","/wiki/Roswitha_Schier","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",4
"BB.30","/wiki/Sigmar-Peter_Schuldt-bb-4","/wiki/Sigmar-Peter_Schuldt","DVU","DVU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",4
"BB.31","/wiki/G%C3%BCnter_Baaske-bb-5","/wiki/G%C3%BCnter_Baaske","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2009-11-10,"bb",5
"BB.32","/wiki/Dietmar_Woidke-bb-5","/wiki/Dietmar_Woidke","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2009-11-11,2010-10-05,"bb",5
"BB.33","/wiki/Ralf_Holzschuher-bb-5","/wiki/Ralf_Holzschuher","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2010-10-06,2013-08-27,"bb",5
"BB.34","/wiki/Klaus_Ness-bb-5","/wiki/Klaus_Ness","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2013-04-28,2014-10-07,"bb",5
"BB.35","/wiki/Kerstin_Kaiser-bb-5","/wiki/Kerstin_Kaiser","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2012-08-19,"bb",5
"BB.36","/wiki/Christian_G%C3%B6rke-bb-5","/wiki/Christian_G%C3%B6rke","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2012-08-20,2014-01-20,"bb",5
"BB.37","/wiki/Margitta_M%C3%A4chtig-bb-5","/wiki/Margitta_M%C3%A4chtig","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2014-01-23,2014-10-07,"bb",5
"BB.38","/wiki/Johanna_Wanka-bb-5","/wiki/Johanna_Wanka","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2010-04-26,"bb",5
"BB.39","/wiki/Saskia_Ludwig-bb-5","/wiki/Saskia_Ludwig","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2010-04-27,2012-09-11,"bb",5
"BB.40","/wiki/Dieter_Dombrowski-bb-5","/wiki/Dieter_Dombrowski","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2012-09-17,2014-02-17,"bb",5
"BB.41","/wiki/Michael_Schierack-bb-5","/wiki/Michael_Schierack","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2014-02-18,2014-10-07,"bb",5
"BB.42","/wiki/Hans-Peter_Goetz-bb-5","/wiki/Hans-Peter_Goetz","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2010-08-10,"bb",5
"BB.43","/wiki/Andreas_B%C3%BCttner_(Politiker)-bb-5","/wiki/Andreas_B%C3%BCttner_(Politiker)","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",2010-08-31,2014-10-07,"bb",5
"BB.44","/wiki/Axel_Vogel-bb-5","/wiki/Axel_Vogel","Bündnis 90/Die Grünen","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2009-10-21,2014-10-07,"bb",5
"BB.45","/wiki/Mike_Bischoff-bb-5","/wiki/Mike_Bischoff","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",5
"BB.46","/wiki/Thomas_Domres-bb-5","/wiki/Thomas_Domres","Die Linke","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",5
"BB.47","/wiki/Ingo_Senftleben-bb-5","/wiki/Ingo_Senftleben","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",5
"BB.48","/wiki/Marion_Vogdt-bb-5","/wiki/Marion_Vogdt","FDP","FDP","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",5
"BB.49","/wiki/Marie_Luise_von_Halem-bb-5","/wiki/Marie_Luise_von_Halem","Bündnis 90/Die Grünen","GRÜNE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"bb",5
"BB.50","/wiki/Klaus_Ness-bb-6","/wiki/Klaus_Ness","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2014-10-08,2015-12-18,"bb",6
"BB.51","/wiki/Mike_Bischoff-bb-6","/wiki/Mike_Bischoff","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",2016-01-12,2019-09-24,"bb",6
"BB.52","/wiki/Michael_Schierack-bb-6","/wiki/Michael_Schierack","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2014-10-08,2014-11-17,"bb",6
"BB.53","/wiki/Ingo_Senftleben-bb-6","/wiki/Ingo_Senftleben","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",2014-11-18,2019-09-24,"bb",6
"BB.54","/wiki/Margitta_M%C3%A4chtig-bb-6","/wiki/Margitta_M%C3%A4chtig","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2014-10-08,2015-06-01,"bb",6
"BB.55","/wiki/Ralf_Christoffers-bb-6","/wiki/Ralf_Christoffers","Die Linke","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",2015-06-02,2019-09-24,"bb",6
"BB.56","/wiki/Alexander_Gauland-bb-6","/wiki/Alexander_Gauland","AfD","AfD","Fraktionsvorsitz","Fraktionsvorsitz",2014-10-08,2017-10-25,"bb",6
"BB.57","/wiki/Andreas_Kalbitz-bb-6","/wiki/Andreas_Kalbitz","AfD","AfD","Fraktionsvorsitz","Fraktionsvorsitz",2017-11-07,2019-09-24,"bb",6
"BB.58","/wiki/Axel_Vogel-bb-6","/wiki/Axel_Vogel","GRÜNE","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.59","/wiki/Ursula_Nonnemacher-bb-6","/wiki/Ursula_Nonnemacher","GRÜNE","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",2017-12-05,2019-09-24,"bb",6
"BB.60","/wiki/Iris_Sch%C3%BClzke-bb-6","/wiki/Iris_Sch%C3%BClzke","BVB/Freie Wähler","BVB/Freie Wähler","Fraktionsvorsitz","Fraktionsvorsitz",2015-04-01,2015-12-31,"bb",6
"BB.61","/wiki/P%C3%A9ter_Vida-bb-6","/wiki/P%C3%A9ter_Vida","BVB/Freie Wähler","BVB/Freie Wähler","Fraktionsvorsitz","Fraktionsvorsitz",2016-01-01,2016-12-31,"bb",6
"BB.62","/wiki/Iris_Sch%C3%BClzke-bb-6","/wiki/Iris_Sch%C3%BClzke","BVB/Freie Wähler","BVB/Freie Wähler","Fraktionsvorsitz","Fraktionsvorsitz",2017-01-01,2017-09-26,"bb",6
"BB.63","/wiki/Daniel_Kurth-bb-6","/wiki/Daniel_Kurth","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2018-07-31,"bb",6
"BB.64","/wiki/Thomas_G%C3%BCnther_(Politiker,_1967)-bb-6","/wiki/Thomas_G%C3%BCnther_(Politiker,_1967)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2018-02-02,"bb",6
"BB.65","/wiki/Uwe_Schmidt_(Politiker,_1947)-bb-6","/wiki/Uwe_Schmidt_(Politiker,_1947)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.66","/wiki/Jutta_Lieske-bb-6","/wiki/Jutta_Lieske","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.67","/wiki/Sylvia_Lehmann-bb-6","/wiki/Sylvia_Lehmann","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.68","/wiki/Barbara_Richstein-bb-6","/wiki/Barbara_Richstein","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.69","/wiki/Henryk_Wichmann-bb-6","/wiki/Henryk_Wichmann","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-01-31,"bb",6
"BB.70","/wiki/Kathrin_Dannenberg-bb-6","/wiki/Kathrin_Dannenberg","Die Linke","LINKE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.71","/wiki/Ren%C3%A9_Wilke-bb-6","/wiki/Ren%C3%A9_Wilke","Die Linke","LINKE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.72","/wiki/Birgit_Bessin-bb-6","/wiki/Birgit_Bessin","GRÜNE","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.73","/wiki/Thomas_Jung_(Politiker,_1957)-bb-6","/wiki/Thomas_Jung_(Politiker,_1957)","GRÜNE","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",2014-10-08,2019-09-24,"bb",6
"BB.74","/wiki/Bj%C3%B6rn_L%C3%BCttmann-bb-6","/wiki/Bj%C3%B6rn_L%C3%BCttmann","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",2014-10-08,2019-09-24,"bb",6
"BB.75","/wiki/Jan_Redmann-bb-6","/wiki/Jan_Redmann","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",2014-10-08,2019-09-24,"bb",6
"BB.76","/wiki/Thomas_Domres-bb-6","/wiki/Thomas_Domres","Die Linke","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",2014-10-08,2019-09-24,"bb",6
"BB.77","/wiki/Andreas_Galau-bb-6","/wiki/Andreas_Galau","AfD","AfD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",2014-10-08,2019-09-24,"bb",6
"BB.78","/wiki/Ursula_Nonnemacher-bb-6","/wiki/Ursula_Nonnemacher","GRÜNE","GRÜNE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",2014-10-08,2019-09-24,"bb",6
"BE.1","/wiki/Klaus-R%C3%BCdiger_Landowsky-be-12","/wiki/Klaus-R%C3%BCdiger_Landowsky","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.2","/wiki/Ditmar_Staffelt-be-12","/wiki/Ditmar_Staffelt","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.3","/wiki/Klaus_B%C3%B6ger-be-12","/wiki/Klaus_B%C3%B6ger","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.4","/wiki/Elga_Kampfhenkel-be-12","/wiki/Elga_Kampfhenkel","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.5","/wiki/Christine_Luft-be-12","/wiki/Christine_Luft","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.6","/wiki/Joachim_Niklas-be-12","/wiki/Joachim_Niklas","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.7","/wiki/Gabriele_Sch%C3%B6ttler-be-12","/wiki/Gabriele_Sch%C3%B6ttler","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.8","/wiki/Peter_Wolf_(Politiker,_1939)-be-12","/wiki/Peter_Wolf_(Politiker,_1939)","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.9","/wiki/Helmut_Fechner-be-12","/wiki/Helmut_Fechner","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",12
"BE.10","/wiki/Horst-Achim_Kern-be-12","/wiki/Horst-Achim_Kern","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",12
"BE.11","/wiki/Gesine_L%C3%B6tzsch-be-12","/wiki/Gesine_L%C3%B6tzsch","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.12","/wiki/Renate_K%C3%BCnast-be-12","/wiki/Renate_K%C3%BCnast","Bündnis 90/Die Grünen (AL) / UFV","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.13","/w/index.php?title=Uwe_Lehmann&action=edit&redlink=1-be-12","/w/index.php?title=Uwe_Lehmann&action=edit&redlink=1","Bündnis 90/Die Grünen (AL) / UFV","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.14","/wiki/Sibyll-Anka_Klotz-be-12","/wiki/Sibyll-Anka_Klotz","Bündnis 90/Die Grünen (AL) / UFV","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.15","/wiki/Wolfgang_Wieland-be-12","/wiki/Wolfgang_Wieland","Bündnis 90/Die Grünen (AL) / UFV","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.16","/wiki/Carola_von_Braun-be-12","/wiki/Carola_von_Braun","FDP","FDP","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",12
"BE.17","/w/index.php?title=Peter_Gadow&action=edit&redlink=1-be-12","/w/index.php?title=Peter_Gadow&action=edit&redlink=1","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.18","/w/index.php?title=Otto_Hoffmann_(Politiker,_1940)&action=edit&redlink=1-be-12","/w/index.php?title=Otto_Hoffmann_(Politiker,_1940)&action=edit&redlink=1","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.19","/w/index.php?title=Peter_Tiedt&action=edit&redlink=1-be-12","/w/index.php?title=Peter_Tiedt&action=edit&redlink=1","FDP","FDP","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",12
"BE.20","/wiki/Klaus_Landowsky-be-13","/wiki/Klaus_Landowsky","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.21","/wiki/J%C3%BCrgen_Adler-be-13","/wiki/J%C3%BCrgen_Adler","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.22","/wiki/Roland_Gewalt-be-13","/wiki/Roland_Gewalt","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.23","/wiki/Dieter_Heckelmann-be-13","/wiki/Dieter_Heckelmann","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.24","/wiki/Uwe_Lehmann-Brauns-be-13","/wiki/Uwe_Lehmann-Brauns","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.25","/wiki/Almut_Mommert-be-13","/wiki/Almut_Mommert","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.26","/wiki/Fritz_Niederges%C3%A4%C3%9F-be-13","/wiki/Fritz_Niederges%C3%A4%C3%9F","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.27","/wiki/Joachim_Palm-be-13","/wiki/Joachim_Palm","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.28","/wiki/Heinz-Viktor_Simon-be-13","/wiki/Heinz-Viktor_Simon","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.29","/wiki/Volker_Liepelt-be-13","/wiki/Volker_Liepelt","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.30","/wiki/Gisela_Greiner-be-13","/wiki/Gisela_Greiner","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",13
"BE.31","/wiki/Dieter_Hapel-be-13","/wiki/Dieter_Hapel","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",13
"BE.32","/wiki/Klaus_B%C3%B6ger-be-13","/wiki/Klaus_B%C3%B6ger","SPD","SPD","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.33","/wiki/Hermann_Borghorst-be-13","/wiki/Hermann_Borghorst","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.34","/wiki/Anna_Damrat-be-13","/wiki/Anna_Damrat","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.35","/wiki/Kirsten_Flesch-be-13","/wiki/Kirsten_Flesch","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.36","/wiki/Rudolf_Kujath-be-13","/wiki/Rudolf_Kujath","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.37","/wiki/Irana_Rusta-be-13","/wiki/Irana_Rusta","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.38","/wiki/Klaus_Wowereit-be-13","/wiki/Klaus_Wowereit","SPD","SPD","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.39","/wiki/Petra_Merkel-be-13","/wiki/Petra_Merkel","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",13
"BE.40","/wiki/Hans-Peter_Seitz-be-13","/wiki/Hans-Peter_Seitz","SPD","SPD","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",13
"BE.41","/wiki/Carola_Bluhm-be-13","/wiki/Carola_Bluhm","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.42","/wiki/Harald_Wolf-be-13","/wiki/Harald_Wolf","PDS","LINKE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.43","/wiki/Martina_Michels-be-13","/wiki/Martina_Michels","PDS","LINKE","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",13
"BE.44","/wiki/Sibyll-Anka_Klotz-be-13","/wiki/Sibyll-Anka_Klotz","Grüne","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.45","/wiki/Wolfgang_Wieland-be-13","/wiki/Wolfgang_Wieland","Grüne","GRÜNE","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",13
"BE.46","/wiki/Michael_Haberkorn-be-13","/wiki/Michael_Haberkorn","Grüne","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.47","/w/index.php?title=Rita_Keil&action=edit&redlink=1-be-13","/w/index.php?title=Rita_Keil&action=edit&redlink=1","Grüne","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.48","/wiki/Renate_K%C3%BCnast-be-13","/wiki/Renate_K%C3%BCnast","Grüne","GRÜNE","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",13
"BE.49","/wiki/Klaus-R%C3%BCdiger_Landowsky-be-14","/wiki/Klaus-R%C3%BCdiger_Landowsky","CDU","CDU","Fraktionsvorsitz","Fraktionsvorsitz",NA,NA,"be",14
"BE.50","/wiki/Michael_Braun_(Politiker)-be-14","/wiki/Michael_Braun_(Politiker)","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.51","/wiki/Monika_Gr%C3%BCtters-be-14","/wiki/Monika_Gr%C3%BCtters","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.52","/wiki/Uwe_Lehmann-Brauns-be-14","/wiki/Uwe_Lehmann-Brauns","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.53","/wiki/Cerstin_Richter-Kotowski-be-14","/wiki/Cerstin_Richter-Kotowski","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.54","/wiki/Ullrich_Meier-be-14","/wiki/Ullrich_Meier","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.55","/wiki/Frank_Steffel-be-14","/wiki/Frank_Steffel","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.56","/wiki/Sabine_Toepfer-Kataw-be-14","/wiki/Sabine_Toepfer-Kataw","CDU","CDU","Stellvertretender Fraktionsvorsitz","Stellvertretender Fraktionsvorsitz",NA,NA,"be",14
"BE.57","/wiki/Gisela_Greiner-be-14","/wiki/Gisela_Greiner","CDU","CDU","Parlamentarische Geschäftsführung","Parlamentarische Geschäftsführung",NA,NA,"be",14
